0) 0xd463d867704d6e6356a09d9d8974c088cdd90809
claimable: 267000000000000000000
investment: 10000000000000000000
----
1) 0x02107c1794c7074513874f4c608e2d00cdee84f5
claimable: 444000000000000000
investment: 150000000000000000
----
2) 0xdcf8023f18409005207026de7f0d1e780a94f742
claimable: 296000000000000000000
investment: 10000000000000000000
----
3) 0x5aded2a2748e0dda11d5abbb0d423a94b828a5f0
claimable: 28100000000000000000
investment: 1000000000000000000
----
4) 0x91c62ff6e40b9718af781148fac9d3b6684a4c24
claimable: 52896000000000000000
investment: 2204000000000000000
----
5) 0xa3ec1ac881f6397d7ac0916c91013a159b2fa9a7
claimable: 59200000000000000000
investment: 2000000000000000000
----
6) 0x35867f6474a4781ecb49d383acdf6b929af143dd
claimable: 227217000000000000000
investment: 8510000000000000000
----
7) 0xe2d0bafac71db8c6e4884c4dd010264ffa49c44b
claimable: 228819000000000000000
investment: 8570000000000000000
----
8) 0x9650a79fc1bccbd27dfc0dfb76769d15c54472b9
claimable: 203454000000000000000
investment: 7620000000000000000
----
9) 0x7c4e6b55f58d5396b82d9128a705f14a36f4eb76
claimable: 242720000000000000000
investment: 8200000000000000000
----
10) 0xd2cb8b857b1aabe1f4d7404ebe260cca0862370d
claimable: 10680000000000000000
investment: 400000000000000000
----
11) 0x3e091d480d0e3429fab8e072075b7502f218ebb8
claimable: 260592000000000000000
investment: 9760000000000000000
----
12) 0x449b3b54c81883680e09f2197838c4d99e1d02ad
claimable: 24000000000000000000
investment: 1000000000000000000
----
13) 0x61fc83ad0743fee0ca0b98aba94a7a9d0e50718a
claimable: 29600000000000000000
investment: 10000000000000000000
----
14) 0xc8b38ee27c0d6b7bde89b4365834d0e7249f92fd
claimable: 125504000000000000000
investment: 4240000000000000000
----
15) 0x632d80122ad73dc56cf7429dd038b514c25f32b3
claimable: 75027000000000000000
investment: 2810000000000000000
----
16) 0x8de7aa0a77134b3e5e09f3586ad6769f79ea8b2d
claimable: 14050000000000000000
investment: 500000000000000000
----
17) 0x0dab09ffe73b6282d8b38479d6fc0472ed16118a
claimable: 267000000000000000000
investment: 10000000000000000000
----
18) 0xed6f4cdc27eac292a2560b3eebf592598ad5ee67
claimable: 235224000000000000000
investment: 9297000000000000000
----
19) 0x6782f058b8cc66625c9da50137cc71730bde1c08
claimable: 267000000000000000000
investment: 10000000000000000000
----
20) 0x49ec0ed807417b69e2950fa809a60e1994d2dc6b
claimable: 44880000000000000000
investment: 1870000000000000000
----
21) 0x1c0370b8711059cb73937b407fb18cf7bdb04f00
claimable: 8524800000000000000
investment: 2880000000000000000
----
22) 0x5cbbd3c50dc65ffe4eeabae2b93eab52619306c7
claimable: 296000000000000000000
investment: 10000000000000000000
----
23) 0x352edba41626f7a6c6641d71ba94a5e28d49b7a9
claimable: 73425000000000000000
investment: 2750000000000000000
----
24) 0x81b01fd31017db4a6d85c098c26902ba15e29625
claimable: 281000000000000000000
investment: 10000000000000000000
----
25) 0x02714daebe7ec7c7803e6c2f5ac18814dae21bfe
claimable: 281000000000000000000
investment: 10000000000000000000
----
26) 0xa111006ccb092aa6a4044bc322135d8b0842a9f2
claimable: 29645500000000000000
investment: 1055000000000000000
----
27) 0xcd792861b74365e13d293d0f8a7849992cce3dfd
claimable: 21360000000000000000
investment: 800000000000000000
----
28) 0x1731b856a4238eb7e3638ba12fee08b4c9fc6797
claimable: 29600000000000000000
investment: 10000000000000000000
----
29) 0x4ac0574bc2249b09808aa8f0dd4130b053889601
claimable: 2810000000000000000
investment: 100000000000000000
----
30) 0x8ad7520f95f76af7328f8a45baa5d26ac1c79098
claimable: 281000000000000000000
investment: 10000000000000000000
----
31) 0xb07a67678bab935c2ce60edc41463aa5785e9dd4
claimable: 43555000000000000000
investment: 1550000000000000000
----
32) 0x8702ffdd9e3495a0bf81eb315f966284d41fb594
claimable: 125180400000000000000
investment: 4945850000000000000
----
33) 0xea9d1d1fa0b7bed82f0d2723883f0543a8a18e9a
claimable: 57720000000000000000
investment: 1950000000000000000
----
34) 0x21fb0f62adbf72fb7b515552dfc4b243aef5439c
claimable: 296000000000000000000
investment: 10000000000000000000
----
35) 0xeb87c91742da3adb33c8f0faf0c0111f1bdb6b1a
claimable: 281000000000000000000
